date,ticker,ETF_id,name,gics_sector,open,high,low,close,volume,amount,index_close,market_corr_active,market_corr_rolling20,market_corr_ewma20,market_beta_rolling20,market_score,market_rank,market_valid,flow_score_raw,flow_score,flow_rank,flow_valid,rotation_score_raw,rotation_score,rotation_rank,rotation_valid,tradable,all_rank_valid
2025-09-16,117460,ETF_001,KODEX 에너지화학,Energy,12004.0,12004.0,11814.0,11814.0,65078.0,776.0,47254.0,0.3361389360069063,0.3361389360069063,0.5958746964840518,0.4347752703245496,0.6666666666666667,4.0,True,0.0583916736237551,0.5555555555555556,5.0,True,-1.0933338534789974,0.0,10.0,True,True,True
2025-09-16,117680,ETF_002,KODEX 철강,Materials,12022.0,12156.0,11913.0,11913.0,82945.0,996.0,47254.0,0.6188390343444189,0.6188390343444189,0.6377383483632341,0.8810584640747906,0.2222222222222222,8.0,True,1.4950614798966773,1.0,1.0,True,-0.7022161747915264,0.1111111111111111,9.0,True,True,True
2025-09-16,139260,ETF_003,TIGER 200 IT,Information Technology,37056.0,38022.0,36967.0,37823.0,190099.0,7170.0,47254.0,0.9142475648767752,0.9142475648767752,0.8970132778208457,1.6791008866032056,0.0,10.0,True,0.4894946794489518,0.8888888888888888,2.0,True,1.6527213731893873,0.8888888888888888,2.0,True,True,True
2025-09-16,139270,ETF_004,TIGER 200 금융,Financials,12242.0,12305.0,12125.0,12159.0,142679.0,1740.0,47254.0,0.6723607297311683,0.6723607297311683,0.6743177603775161,1.0019324348930805,0.1111111111111111,9.0,True,-0.1355837157295978,0.4444444444444444,6.0,True,-0.4982933727858009,0.2222222222222222,8.0,True,True,True
2025-09-16,227550,ETF_005,TIGER 200 산업재,Industrials,9881.0,10112.0,9881.0,10112.0,1794.0,18.0,47254.0,0.5651088546730816,0.5651088546730816,0.6195744181761278,0.7206267824489617,0.3333333333333333,7.0,True,-0.80017960274436,0.0,10.0,True,1.9295803339895417,1.0,1.0,True,True,True
2025-09-16,266390,ETF_006,KODEX 경기소비재,Consumer Discretionary,9748.0,9818.0,9748.0,9758.0,5359.0,52.0,47254.0,0.1677245056357575,0.1677245056357575,0.5240589782745764,0.1396220214558603,0.7777777777777778,3.0,True,0.2164907381354184,0.7777777777777778,3.0,True,0.1945825202723902,0.7777777777777778,3.0,True,True,True
2025-09-16,266410,ETF_007,KODEX 필수소비재,Consumer Staples,8474.0,8474.0,8355.0,8385.0,43272.0,363.0,47254.0,-0.0254209355431344,-0.0254209355431344,0.3233220871733979,-0.0165895091931829,1.0,1.0,True,0.0712674137851714,0.6666666666666667,4.0,True,-0.4364949584114464,0.4444444444444444,6.0,True,True,True
2025-09-16,266420,ETF_008,KODEX 헬스케어,Health Care,19400.0,19430.0,19280.0,19395.0,41012.0,794.0,47254.0,0.4345325903464673,0.4345325903464673,0.543366737283208,0.346941233897477,0.5555555555555556,5.0,True,-0.1824477732826669,0.3333333333333333,7.0,True,-0.2908729422718384,0.6666666666666667,4.0,True,True,True
2025-09-16,315270,ETF_009,TIGER 200 커뮤니케이션서비스,Communication Services,22086.0,22086.0,21918.0,21918.0,1243.0,27.0,47254.0,0.4609055958050117,0.4609055958050117,0.4382917179014897,0.4688318061634486,0.4444444444444444,6.0,True,-0.38849991940618,0.2222222222222222,8.0,True,-0.4483026940327446,0.3333333333333333,7.0,True,True,True
2025-09-16,476800,ETF_010,KODEX 한국부동산리츠인프라,Real Estate,4607.0,4607.0,4578.0,4583.0,1476827.0,6772.0,47254.0,0.0143663619123269,0.0143663619123269,0.3566487192775056,0.0042676631795007,0.8888888888888888,2.0,True,-0.4980512840666187,0.1111111111111111,9.0,True,-0.3073702316789651,0.5555555555555556,5.0,True,True,True
